0.0,28.88,2.72,8.85,4.72,7.59,34.62,30.01,3.64,1.06,1.7,24.09,27.87,24.01,3.07,23.66,21.68,22.57,21.39,18.38,7.64,22.66,7.58,26.55,22.11,33.13,6.98,6.41,20.07,2.94,18.71,20.06,23.13,9.4,15.62,5.05,7.88,5.09,3.84,27.03,6.94,24.92,9.37,22.82,26.76,34.6,18.49,20.48
29.75,0.0,30.56,35.03,28.54,32.02,9.11,7.2,25.11,28.82,28.72,8.41,1.58,9.7,26.76,4.26,8.51,8.84,41.84,13.79,29.44,7.4,28.75,8.19,5.76,4.22,33.16,32.59,26.31,30.62,11.93,9.99,7.85,35.58,21.86,27.22,36.74,23.63,23.44,8.97,35.04,17.69,35.55,5.11,11.07,5.17,13.67,9.65
2.71,30.52,0.0,7.15,8.01,9.75,37.16,30.8,6.1,3.84,3.34,26.63,30.41,26.55,5.61,27.25,23.97,25.11,19.69,20.92,5.94,25.71,4.87,27.34,24.65,35.67,5.28,3.75,18.92,2.06,21.25,22.6,23.89,7.71,14.48,3.9,5.89,4.68,5.62,27.82,4.95,27.46,7.67,27.58,29.3,32.87,21.03,23.02
7.83,34.44,5.9,0.0,15.43,17.17,43.28,34.72,10.1,9.95,10.77,30.81,36.53,30.73,13.04,31.17,27.89,29.28,14.16,21.2,4.83,29.63,5.48,31.26,32.15,41.79,1.72,2.39,22.84,6.58,25.42,29.85,27.81,1.52,17.38,7.82,2.38,8.39,9.07,31.73,0.74,30.79,0.96,31.5,33.48,36.79,21.31,27.2
4.28,29.13,7.62,14.91,0.0,2.67,34.88,30.27,7.17,3.76,4.73,24.35,28.13,24.26,1.78,23.91,21.94,22.82,27.44,18.64,13.7,22.91,13.02,26.81,22.37,33.39,13.04,12.46,25.52,6.62,18.96,20.31,23.39,15.46,21.07,10.5,12.16,11.27,7.36,27.28,11.84,25.17,15.43,23.07,27.01,34.85,18.74,20.74
7.48,30.54,9.61,16.89,2.67,0.0,36.28,31.67,8.58,7.14,6.72,25.91,29.53,24.99,4.19,25.32,23.34,24.23,28.63,20.04,15.68,24.32,15.01,28.21,23.77,34.79,15.02,14.45,27.51,8.22,20.37,21.72,24.79,17.45,23.06,12.48,14.87,11.49,10.47,28.69,13.83,22.82,17.41,24.48,26.22,36.26,20.15,22.14
35.41,9.3,37.27,44.0,34.2,37.68,0.0,7.14,30.77,34.48,34.38,14.07,7.99,15.36,32.42,13.23,17.48,14.5,50.81,19.45,38.41,16.36,37.72,13.81,14.73,4.52,42.13,41.56,35.28,36.28,17.59,18.96,16.82,44.55,30.83,36.19,41.81,30.49,32.3,14.58,41.49,23.36,44.52,14.08,16.74,5.12,19.33,15.31
30.62,7.2,32.48,35.27,29.4,32.88,7.14,0.0,25.98,29.69,29.59,15.88,7.82,17.17,27.63,9.03,11.5,16.3,42.07,17.67,29.68,9.47,28.99,4.74,10.2,3.32,33.4,32.82,26.55,31.48,21.14,14.22,8.73,35.82,22.1,27.46,36.98,23.86,23.67,5.51,35.28,25.16,35.79,9.55,18.54,2.2,14.94,12.88
3.8,24.62,9.87,10.37,6.79,10.27,30.36,25.75,0.0,3.52,6.98,19.84,23.61,19.75,5.01,19.4,17.42,18.31,22.9,14.12,9.16,18.4,7.54,22.29,17.85,28.87,8.5,7.92,20.03,8.87,14.45,15.8,18.87,10.92,15.59,5.09,14.41,3.38,2.31,22.77,10.38,20.69,10.89,18.56,24.09,30.34,14.23,16.22
0.98,28.23,3.88,9.44,4.07,5.87,33.97,29.37,2.96,0.0,1.72,23.45,27.22,23.36,2.43,23.01,21.04,21.92,21.98,17.74,8.23,22.01,8.17,25.91,21.47,32.49,7.57,7.0,20.66,3.58,18.06,19.41,22.49,9.99,16.21,5.64,9.41,4.86,3.84,26.38,9.45,24.27,9.96,22.17,26.11,33.95,17.84,19.84
1.8,28.07,4.0,11.29,4.66,5.38,33.82,29.21,6.12,1.51,0.0,23.29,27.07,23.21,2.27,22.86,20.88,21.76,23.83,17.58,10.08,21.85,9.41,25.75,21.31,32.33,9.42,8.85,21.9,3.01,17.91,19.25,22.33,11.84,17.45,6.88,8.54,7.65,5.57,26.23,8.22,24.11,11.81,22.01,25.96,33.79,17.69,19.68
24.54,8.25,26.41,33.69,23.33,26.81,14.0,15.73,19.91,23.61,23.51,0.0,7.25,2.03,21.55,5.76,10.01,1.52,43.34,8.58,30.95,8.9,30.25,16.91,5.04,12.51,31.82,31.25,27.82,25.41,6.72,9.13,9.36,34.24,23.37,28.72,30.95,19.62,21.44,17.38,30.62,10.03,34.21,4.94,3.41,13.97,8.46,3.39
28.74,1.58,30.61,37.33,27.53,31.01,7.8,7.82,24.11,27.81,27.71,7.4,0.0,8.69,25.75,6.56,10.81,7.83,44.14,12.78,31.75,9.7,31.05,8.95,8.06,4.75,35.46,34.89,28.61,29.61,10.92,12.29,10.15,37.88,24.17,29.52,35.14,23.82,25.64,9.72,34.82,16.69,37.85,7.41,10.07,6.21,12.66,8.64
24.71,9.49,26.57,33.86,23.49,25.09,15.24,16.97,20.07,23.78,23.68,2.03,8.49,0.0,21.72,7.0,11.25,1.44,44.58,8.75,32.65,10.14,31.49,18.15,5.27,13.75,31.99,31.41,29.06,25.58,6.88,9.3,10.59,34.41,24.61,21.45,31.11,19.78,21.6,18.62,30.79,9.24,34.38,5.17,2.7,15.21,8.63,3.45
3.72,26.62,5.59,12.87,1.78,4.17,32.37,27.76,4.67,2.42,2.69,21.84,25.62,21.75,0.0,21.4,19.43,20.31,25.41,16.13,11.66,20.4,10.99,24.3,19.86,30.88,11.0,10.43,23.48,4.59,16.45,17.8,20.88,13.42,19.03,8.46,10.13,9.24,5.42,24.77,9.8,22.66,13.39,20.56,24.51,32.34,16.24,18.23
24.37,4.26,27.16,31.63,23.16,26.64,13.11,9.02,19.73,23.44,23.34,5.97,6.36,7.25,21.38,0.0,5.1,4.17,38.44,8.57,26.04,2.81,25.35,12.0,1.6,11.62,29.76,29.18,22.91,25.24,5.76,5.14,4.45,32.18,18.46,23.82,33.34,20.23,20.04,12.48,31.64,15.25,32.15,0.95,8.63,13.08,6.3,4.28
22.32,8.61,23.91,28.37,21.11,24.59,17.46,10.58,17.69,21.39,21.29,10.32,10.71,11.61,19.33,4.18,0.0,8.88,35.18,6.23,22.79,1.74,22.1,8.75,3.55,15.97,26.5,25.93,19.66,23.19,6.27,2.37,1.93,28.93,15.21,20.56,30.08,15.56,15.37,9.22,28.38,19.6,28.89,3.94,12.98,11.25,3.55,6.18
23.26,8.52,25.13,32.41,22.05,25.53,14.27,16.0,18.63,22.33,22.24,1.52,7.52,1.44,20.27,4.18,10.28,0.0,43.61,7.31,31.2,9.17,22.07,17.18,3.83,12.78,30.54,29.97,28.09,24.13,5.44,7.86,9.63,32.97,23.64,20.0,29.67,18.34,20.16,17.65,29.35,9.15,32.93,3.73,4.12,14.24,7.18,2.18
21.34,41.75,19.67,14.37,28.14,29.88,50.59,42.03,22.8,22.66,23.48,43.45,43.84,44.74,25.74,38.48,35.2,43.88,0.0,41.38,17.53,36.93,18.19,38.57,39.46,49.1,14.78,15.8,30.13,21.57,38.13,37.16,35.11,12.78,23.45,20.53,15.53,21.09,21.77,39.04,15.78,43.49,13.45,38.8,46.11,44.09,38.64,39.91
18.87,13.2,20.73,28.02,17.66,21.14,18.94,17.89,14.23,17.94,17.84,8.42,12.19,8.33,15.88,7.98,6.22,6.89,40.55,0.0,17.05,5.04,15.85,14.43,6.15,17.45,26.15,25.57,25.48,19.74,2.44,2.37,11.01,28.57,21.03,13.78,25.27,12.12,11.93,14.9,24.95,17.7,28.54,6.85,11.08,18.92,1.58,5.32
7.49,29.38,5.55,5.04,14.26,16.0,38.22,29.66,8.92,8.78,9.6,31.08,31.47,32.37,11.86,26.11,22.83,28.11,17.58,16.53,0.0,24.57,1.38,26.2,27.09,36.73,3.13,2.68,17.78,7.1,24.25,24.79,22.75,5.6,13.33,3.95,7.23,5.89,7.89,26.67,4.99,29.61,5.56,26.44,33.75,31.73,16.64,26.03
25.4,6.96,25.57,30.03,24.18,27.66,16.36,9.49,20.76,24.47,24.37,9.22,9.61,10.51,22.41,2.83,1.74,7.7,36.84,5.05,24.45,0.0,23.76,10.41,2.37,14.88,28.16,27.59,21.32,26.26,5.09,2.7,2.81,30.59,16.87,22.22,31.74,18.64,18.45,10.88,30.05,18.51,30.56,2.76,11.89,10.15,4.31,5.0
6.21,28.66,4.54,5.7,13.44,15.18,37.51,28.94,7.51,6.74,8.78,30.37,30.76,31.65,11.05,25.39,22.12,22.01,18.23,16.0,1.38,23.85,0.0,25.48,26.37,36.02,3.78,3.33,17.07,8.12,22.83,24.08,22.03,6.25,12.62,2.76,7.89,4.69,6.06,25.96,5.71,28.2,6.22,25.72,33.03,31.01,16.11,20.44
