0.0,29.56,10.51,9.09,8.17,31.72,22.51,22.12,17.17,12.89,18.91,15.91,4.41,27.12,6.53,9.95,11.61,21.57,5.05,19.63,19.47,20.5,9.81,11.14,4.31,11.16,32.14,28.53,15.15,33.39,2.68,18.97,20.89,22.13,3.85,9.61,15.2,2.43,25.34,5.64,20.27,3.42,27.85,7.04,27.57,6.62,9.87,23.06,26.8,31.87,18.69,21.26
29.77,0.0,36.07,34.64,29.96,6.74,6.19,27.74,15.88,19.69,24.53,16.34,21.45,13.33,26.56,32.3,32.25,41.4,31.36,20.61,13.64,8.71,27.39,34.15,30.09,32.07,3.52,5.34,18.09,6.32,30.38,13.43,8.08,16.15,22.66,35.17,21.82,30.07,45.17,26.61,8.84,22.73,8.29,34.33,7.71,26.04,35.43,4.51,12.36,4.39,10.34,10.59
10.45,35.22,0.0,1.23,4.24,41.36,31.04,26.71,21.8,15.86,17.65,19.66,12.92,34.81,15.44,2.24,4.05,14.0,4.25,24.22,24.1,28.25,7.5,1.44,11.85,3.34,41.78,38.18,19.73,43.04,7.41,27.5,31.15,29.81,11.05,1.39,16.16,9.65,17.77,10.23,30.71,11.07,33.54,1.62,33.26,11.21,0.64,32.0,35.33,37.55,23.33,29.8
7.95,34.34,1.23,0.0,3.11,40.49,29.34,25.0,20.1,15.77,18.15,18.79,11.21,33.11,13.74,2.8,4.62,14.58,3.12,22.51,22.4,27.38,5.39,2.5,11.33,4.17,40.91,37.31,18.03,42.17,6.89,25.8,30.28,28.11,9.34,1.58,16.65,9.13,18.34,8.52,29.84,9.37,32.67,0.44,32.39,9.5,1.2,31.13,33.63,36.68,21.62,28.09
9.0,30.02,4.24,3.11,0.0,36.17,28.5,24.24,19.34,10.67,12.46,14.47,10.45,32.35,12.98,3.75,5.92,15.87,2.9,21.75,21.64,23.05,2.64,5.44,13.56,4.63,36.59,32.98,17.27,37.84,10.09,25.04,25.96,27.35,8.58,3.07,10.96,11.36,19.64,4.39,25.52,8.61,28.35,3.07,28.07,6.1,4.18,26.81,34.64,32.36,20.86,27.33
32.38,6.63,42.63,41.2,36.52,0.0,10.75,34.3,17.26,26.25,31.09,22.9,25.89,14.72,29.18,38.86,38.81,47.96,37.92,27.17,15.02,15.27,33.95,40.71,32.7,38.63,3.39,5.55,24.65,2.95,32.98,14.81,14.87,17.53,27.1,41.73,28.37,32.68,51.73,33.17,15.39,28.85,11.91,38.56,9.29,32.6,41.99,10.95,13.74,4.1,16.5,11.97
23.39,5.7,34.19,32.77,31.85,10.72,0.0,26.51,8.27,18.46,23.3,15.11,16.9,8.05,20.19,31.07,31.02,40.17,29.48,19.38,6.03,7.48,26.16,32.92,23.71,30.84,11.14,7.54,16.86,12.4,23.99,5.82,3.83,12.12,18.11,33.3,20.58,23.68,43.93,25.38,4.14,19.86,14.85,29.56,14.57,24.81,33.56,1.77,8.33,13.56,7.5,2.98
22.14,28.02,27.15,25.72,21.67,34.16,26.5,0.0,26.64,11.9,8.22,12.46,20.38,33.6,26.2,23.35,23.31,32.45,22.44,3.6,28.94,21.05,18.45,25.2,26.69,23.12,34.58,30.98,15.85,35.84,23.22,30.16,23.95,36.42,20.7,26.25,10.33,24.49,36.22,17.69,23.51,20.73,26.34,25.4,26.06,17.12,26.51,24.8,32.63,30.36,24.82,30.86
17.55,16.07,28.36,26.93,26.01,17.26,8.05,26.21,0.0,18.15,22.99,14.81,9.24,13.32,14.34,27.8,29.46,39.42,23.65,19.07,3.19,4.87,17.66,28.98,17.87,29.01,17.68,14.08,10.24,18.94,18.16,4.41,4.62,10.84,10.44,27.46,20.28,17.85,43.18,13.05,4.0,10.52,14.4,23.73,14.12,11.94,27.72,8.32,12.34,20.1,2.42,6.81
12.14,21.71,15.32,15.72,10.74,27.86,20.19,11.75,20.33,0.0,4.6,6.16,10.38,27.3,16.2,13.08,13.04,22.18,12.44,9.26,22.63,14.74,8.18,14.93,16.69,12.85,28.28,24.67,6.79,29.53,13.22,23.85,17.65,30.12,10.7,14.42,1.64,14.49,25.95,7.69,17.21,10.73,20.04,15.4,19.76,7.12,14.68,18.5,26.32,24.05,18.51,24.55
19.12,24.49,17.51,18.08,12.93,30.64,22.97,8.26,23.11,4.68,0.0,8.94,17.36,30.08,23.18,15.28,15.23,24.37,19.42,5.77,25.41,17.52,10.37,17.12,23.67,15.04,31.06,27.45,12.33,32.31,20.2,26.63,20.43,32.9,17.68,16.61,3.07,21.47,28.14,14.67,19.99,17.71,22.82,19.15,22.54,14.1,16.87,21.28,29.1,26.83,21.29,27.33
15.5,16.78,20.51,19.09,14.4,22.93,15.26,12.19,15.4,4.13,8.97,0.0,13.75,22.37,19.57,16.74,16.7,25.84,15.8,6.88,17.7,9.81,11.84,18.59,20.05,16.51,23.35,19.74,5.45,24.6,16.58,18.92,12.72,25.18,14.07,19.61,6.26,17.86,29.61,11.06,12.28,14.09,15.1,18.77,14.82,10.49,19.87,13.57,21.39,19.12,13.58,19.62
4.87,21.88,12.47,11.05,8.36,25.86,16.65,20.91,9.5,11.67,17.69,14.69,0.0,21.92,8.11,11.91,13.58,23.46,7.76,18.42,11.8,12.82,9.03,13.1,7.97,13.12,26.28,22.68,9.34,27.54,9.38,13.01,13.22,20.56,1.28,11.57,13.98,7.37,27.23,4.42,12.6,1.49,20.17,10.73,19.89,3.31,11.84,16.92,20.94,24.19,11.02,15.41
24.56,9.93,35.37,33.95,33.03,11.11,4.49,29.89,9.45,21.84,26.68,18.49,18.08,0.0,21.37,34.45,34.4,43.54,30.66,22.76,7.21,10.86,29.54,36.3,24.89,34.21,11.54,7.93,20.23,12.79,25.17,7.0,8.52,8.58,19.28,34.48,23.96,24.86,47.31,28.76,9.37,21.04,18.23,30.74,17.95,20.78,34.74,6.54,4.78,13.95,8.68,4.16
7.17,26.67,17.98,16.55,15.63,28.83,19.62,28.98,14.28,19.75,25.77,22.77,7.91,21.26,0.0,17.42,19.08,29.04,13.27,26.49,16.58,17.61,17.28,18.6,7.49,18.63,29.25,25.65,20.8,30.51,7.78,16.08,18.01,16.26,7.29,17.08,22.05,7.47,32.81,12.5,17.38,6.8,24.96,13.35,24.68,13.48,17.34,20.17,22.48,28.98,15.8,18.38
