0.0,29.09,7.21,4.07,32.01,1.62,23.36,27.27,23.24,3.45,23.34,22.61,22.83,20.07,7.93,22.65,8.05,25.52,22.29,19.35,6.66,28.08,19.65,29.07,7.18,2.49,23.45,9.47,9.64,3.94,25.59,5.75,20.27,3.3,26.81,7.07,7.01,25.36,22.94,26.86,31.94,18.5,29.44,23.37
29.96,0.0,35.27,32.76,6.72,28.26,7.89,1.95,9.41,27.16,4.46,7.81,9.0,13.21,28.76,7.16,28.02,7.05,5.49,11.53,32.67,3.86,20.42,10.54,25.32,26.88,6.47,35.48,30.16,31.45,45.87,26.74,9.28,23.33,8.79,34.65,26.88,6.97,5.04,11.38,5.79,13.89,4.15,6.67
7.21,34.62,0.0,3.28,41.02,7.96,30.18,36.28,30.06,10.26,31.37,27.64,29.65,23.24,5.47,29.92,6.3,30.58,32.41,26.16,2.38,37.09,22.77,34.13,10.3,8.84,28.48,1.87,3.31,9.07,18.78,8.87,30.08,9.46,31.87,0.48,10.13,30.41,31.45,33.67,37.0,21.68,38.46,28.4
4.07,32.22,3.28,0.0,35.69,4.82,27.04,30.95,26.92,7.13,28.98,25.25,26.51,23.74,4.3,27.53,5.13,28.18,25.97,23.03,2.72,31.76,20.38,31.74,7.91,6.61,26.09,5.82,6.01,5.94,21.94,6.47,23.95,7.23,29.47,3.14,7.73,28.02,29.05,30.54,34.61,22.18,33.12,26.0
32.69,6.34,41.7,35.91,0.0,30.99,10.62,5.9,12.15,29.89,10.89,14.24,11.73,15.94,35.19,13.59,34.45,12.06,11.92,14.26,39.1,6.27,26.85,11.52,31.75,29.62,14.43,41.9,36.59,34.18,52.3,33.17,15.71,29.53,11.82,38.9,33.3,20.46,11.34,14.12,5.61,16.63,3.03,13.09
1.49,28.01,8.15,5.01,30.93,0.0,22.28,26.18,22.16,2.37,22.26,21.53,21.75,18.98,10.03,21.57,9.53,24.44,21.21,18.26,8.77,27.0,21.14,27.99,8.67,4.35,22.37,11.57,11.74,3.29,27.69,7.24,19.19,4.71,25.72,8.01,8.5,24.27,21.85,25.77,30.86,17.42,28.36,22.29
24.03,7.96,30.38,27.24,10.88,22.33,0.0,6.13,1.89,21.23,5.63,8.98,1.16,7.28,29.93,8.33,29.19,15.36,4.13,5.6,31.0,6.94,21.59,18.91,26.49,20.95,9.17,33.8,31.33,25.52,47.03,27.91,8.84,20.87,16.65,30.24,19.73,15.2,6.08,3.73,13.66,7.96,8.31,7.83
28.14,1.95,37.14,31.35,5.81,26.43,6.07,0.0,7.59,25.34,6.33,9.68,7.18,11.38,30.63,9.03,29.89,8.57,7.37,9.7,34.54,2.03,22.29,12.05,27.19,25.06,9.87,37.35,32.03,29.63,47.74,28.61,11.15,24.97,10.3,34.34,28.75,8.48,6.79,9.56,7.14,12.07,3.24,8.54
23.94,9.21,30.29,27.15,12.13,22.24,1.89,7.39,0.0,21.14,4.93,10.23,0.97,7.19,31.18,9.58,30.44,16.62,4.1,5.51,30.91,8.2,22.84,20.17,27.74,20.86,10.42,33.71,33.88,25.43,48.29,20.92,7.2,20.78,17.9,30.15,19.64,16.45,4.77,3.81,14.92,7.87,9.56,9.09
4.36,27.03,10.71,7.57,29.95,2.65,21.3,25.2,21.18,0.0,21.28,20.55,20.77,18.0,12.58,20.59,12.09,23.46,20.23,17.28,11.32,26.01,23.69,27.01,11.22,4.7,21.39,14.12,14.29,5.85,30.25,9.79,18.21,5.06,24.74,10.56,11.05,23.29,20.87,24.79,29.88,16.44,27.38,21.31
