0.0,29.66,2.85,22.58,15.53,21.41,17.38,15.64,18.79,16.23,4.25,24.21,6.88,23.4,3.24,23.39,22.86,21.26,18.38,9.64,10.95,4.81,19.64,19.5,6.97,5.82,2.83,18.48,20.98,22.97,9.55,9.47,2.32,4.96,8.14,5.38,23.42,5.84,23.91,19.54,9.84,25.88,22.83,26.08,34.23,18.15,29.92
30.12,0.0,30.38,6.54,21.91,27.37,16.43,19.04,24.76,16.48,21.87,10.12,25.81,10.77,26.96,5.1,8.17,41.44,15.38,27.89,34.53,30.94,17.85,8.74,32.88,32.75,30.88,13.28,9.69,17.33,33.66,29.63,30.31,26.85,35.93,23.02,4.66,25.4,7.09,19.25,35.74,7.2,5.64,11.98,4.22,13.96,5.28
2.84,30.44,0.0,25.24,14.4,20.28,20.04,14.52,17.67,15.1,7.47,26.88,5.76,26.07,5.9,27.36,23.63,19.44,21.05,7.82,9.13,7.41,22.31,22.16,5.15,3.81,2.21,21.14,23.64,25.63,7.73,7.65,3.77,3.84,6.07,4.99,26.93,8.5,24.69,22.21,8.02,26.69,25.49,28.75,32.78,20.82,32.59
23.46,5.7,25.44,0.0,20.34,25.8,8.55,17.46,23.19,14.91,17.05,5.81,24.24,3.93,20.3,1.47,5.88,39.86,7.5,26.32,32.96,24.28,8.39,4.87,30.73,30.6,24.22,5.4,4.48,13.03,33.3,28.06,23.65,25.28,30.12,18.19,1.89,18.74,5.52,14.94,33.59,12.89,0.91,7.68,13.13,7.77,8.83
15.46,21.88,14.44,20.27,0.0,10.12,20.61,5.96,2.96,6.54,13.98,23.8,9.87,24.45,19.02,18.8,15.07,22.34,21.61,8.79,15.44,20.52,31.53,24.41,16.94,16.81,15.94,25.09,17.29,31.02,14.57,10.53,16.88,10.91,16.83,12.76,18.36,21.62,16.13,32.94,15.11,18.13,19.37,25.67,24.22,18.39,26.13
21.42,27.4,20.4,25.79,10.2,0.0,26.13,11.48,7.39,12.06,19.93,29.33,15.83,29.98,24.97,24.32,20.6,31.43,27.14,17.88,24.53,26.48,37.06,29.94,22.89,22.77,21.89,30.62,22.81,36.55,25.47,19.62,22.84,16.87,27.4,18.72,23.89,27.57,21.65,38.46,25.76,23.66,24.9,31.2,29.75,23.92,31.66
17.76,16.52,19.75,8.33,20.24,25.7,0.0,17.36,23.09,14.81,9.52,9.96,14.18,9.15,14.6,9.14,4.66,39.32,1.46,17.78,29.0,18.58,7.07,5.12,25.03,24.9,18.52,5.79,4.23,17.18,27.6,27.52,17.95,12.58,24.42,10.67,8.89,13.04,8.11,19.1,27.89,12.64,8.58,11.83,19.98,1.71,15.68
16.28,22.69,15.25,21.08,2.88,12.51,21.42,0.0,5.39,7.35,14.79,24.62,10.68,25.27,19.83,19.61,15.89,22.4,22.42,8.85,15.5,21.33,32.35,25.22,16.51,17.42,16.75,25.9,18.1,31.83,14.63,10.6,17.69,11.73,16.89,13.57,19.18,22.43,16.94,33.75,15.17,18.94,20.19,26.48,25.03,19.21,26.94
18.98,24.45,17.95,22.84,3.04,7.41,23.18,8.53,0.0,9.11,17.49,26.38,13.38,27.03,22.53,21.37,17.65,23.92,24.19,10.38,17.02,24.03,34.11,26.99,20.45,20.32,19.45,27.67,19.86,33.6,16.15,12.12,20.39,14.43,18.42,16.27,20.94,25.13,18.7,35.51,16.7,20.71,21.95,28.25,26.8,20.97,28.7
15.82,16.68,14.8,15.07,6.33,11.79,15.41,3.45,9.17,0.0,14.33,18.61,10.23,19.25,19.37,13.6,9.87,25.85,16.41,12.3,18.95,20.88,26.34,19.21,17.29,17.16,16.29,19.89,12.09,25.82,18.08,14.05,17.24,11.27,20.34,13.12,13.17,24.64,10.93,27.74,20.16,12.93,14.17,20.47,19.02,13.19,20.93
4.66,21.81,7.54,16.55,14.57,20.46,9.53,14.69,17.84,15.27,0.0,18.18,5.61,17.37,7.3,18.73,15.0,22.86,10.53,9.2,12.62,8.26,16.43,13.33,8.64,8.51,9.03,15.27,13.13,21.2,11.22,11.14,6.45,4.01,13.15,1.58,18.29,4.85,16.06,17.77,11.51,18.03,16.8,20.05,24.12,10.31,23.9
24.86,10.46,26.85,4.71,24.01,29.47,9.95,21.13,26.85,18.58,18.45,0.0,27.91,0.91,21.7,5.72,10.27,43.53,8.9,29.98,36.63,25.68,7.99,6.27,32.13,32.0,25.62,6.8,9.69,7.48,34.7,31.72,25.05,28.95,31.52,19.59,6.54,20.14,9.18,9.39,34.99,16.55,6.27,2.13,13.92,9.17,9.62
6.94,25.85,5.92,24.24,9.81,15.7,13.28,9.93,13.08,10.52,5.61,27.78,0.0,28.43,10.49,22.78,19.05,20.65,14.29,3.75,10.33,12.0,26.23,17.09,6.36,6.23,7.41,17.77,21.26,26.21,8.93,6.5,8.36,2.39,10.87,4.4,22.34,13.09,20.1,22.78,9.22,22.11,23.35,29.65,28.2,14.06,30.11
24.1,10.86,26.09,3.93,24.41,29.87,9.2,21.53,27.26,18.98,17.69,0.85,28.31,0.0,20.94,4.74,10.67,43.93,8.14,30.39,35.35,24.93,7.47,5.51,31.37,31.24,24.86,6.05,7.62,6.95,33.95,32.13,24.29,20.75,30.76,18.84,5.17,19.39,9.59,8.87,34.24,16.96,4.18,2.6,14.33,8.41,10.02
4.0,27.24,5.99,20.16,19.21,25.1,14.96,19.33,22.48,19.92,5.67,21.79,10.57,20.98,0.0,20.97,20.44,25.56,15.96,13.94,15.25,3.21,17.22,17.08,11.27,11.14,4.76,16.06,18.56,20.55,13.85,13.77,4.19,8.65,10.66,6.56,21.0,3.42,21.49,17.12,14.14,23.46,20.41,23.66,31.81,15.73,27.51
24.26,5.24,27.34,1.47,18.88,24.34,9.35,16.0,21.72,13.45,18.83,5.61,22.77,4.73,21.1,0.0,5.14,38.4,8.3,24.85,31.5,25.08,9.19,4.9,29.84,29.71,25.02,6.2,5.37,12.83,30.63,26.59,24.45,23.82,32.89,19.98,0.45,19.54,4.05,14.74,32.71,11.42,0.57,7.48,12.81,6.68,8.5
