0.0,29.21,2.61,6.92,31.51,6.64,10.51,11.84,23.6,23.07,22.91,21.48,9.63,10.88,4.81,19.26,10.91,4.93,7.1,27.81,16.81,19.06,30.61,7.56,21.08,23.78,9.04,10.05,5.78,5.08,5.36,20.93,3.27,26.33,7.02,7.08,9.85,3.1,2.6,27.2,24.37,27.35
29.83,0.0,30.3,35.14,6.58,28.93,31.77,32.56,4.57,7.62,10.22,41.36,27.58,34.57,30.65,15.59,31.87,25.49,32.71,4.67,15.99,36.17,10.8,25.39,8.24,5.42,34.66,29.01,32.76,26.68,26.46,8.66,22.8,7.04,34.2,26.55,35.46,29.66,28.71,12.81,44.25,1.66
2.6,30.26,0.0,4.75,33.94,9.07,8.92,10.26,27.42,24.13,25.33,19.9,7.37,6.14,7.17,21.68,9.33,7.35,4.14,30.23,15.95,17.48,31.69,6.71,23.12,24.83,7.46,8.46,5.7,4.22,4.5,25.6,6.09,27.42,4.85,6.22,8.26,0.91,3.71,29.62,22.79,28.48
6.92,34.51,4.75,0.0,40.8,13.17,3.95,5.28,31.67,28.38,29.44,14.92,6.05,1.56,11.27,25.79,4.35,11.46,2.32,37.1,20.2,12.5,35.94,8.64,27.37,29.08,1.81,4.36,9.81,8.47,8.75,29.85,9.87,31.67,0.74,10.47,1.66,5.34,7.8,33.73,17.81,32.73
32.17,7.54,33.92,38.24,0.0,31.28,38.07,38.86,9.87,13.92,11.35,47.66,33.88,40.87,33.0,16.72,38.17,27.84,39.01,5.47,22.29,42.47,11.58,31.69,14.54,14.24,40.96,35.31,35.11,32.98,32.75,14.96,28.99,10.41,38.33,32.85,41.76,34.5,35.01,13.94,50.55,7.97
7.28,27.09,9.03,13.35,29.39,0.0,18.09,19.42,21.49,20.96,20.79,29.06,17.21,18.46,8.11,18.86,18.49,3.5,14.68,25.69,22.23,26.64,28.49,14.53,18.96,21.66,16.63,17.63,10.22,12.05,12.33,18.82,7.21,24.22,13.44,14.05,17.43,9.61,7.08,23.65,31.95,25.23
10.29,32.04,8.73,3.81,38.33,15.39,0.0,1.52,29.19,25.9,34.81,12.27,5.98,2.68,16.36,27.63,0.84,13.57,4.56,34.62,25.87,9.85,33.47,9.67,24.89,26.61,2.0,2.46,14.9,9.5,9.78,27.38,10.9,29.19,4.46,11.5,2.15,7.98,8.83,37.4,15.16,30.26
11.39,32.67,9.83,5.1,38.96,16.49,1.53,0.0,29.83,26.54,35.44,10.83,8.57,3.89,17.46,28.73,0.87,14.66,5.66,35.26,26.5,8.41,34.1,10.77,25.52,27.24,3.21,4.0,16.0,10.6,10.88,28.01,12.0,29.83,5.55,12.6,3.36,9.07,9.93,38.03,13.72,30.89
26.86,4.32,27.34,32.18,9.87,25.97,28.81,29.6,0.0,4.66,4.46,38.4,24.62,31.61,27.69,9.02,28.91,22.53,29.75,6.16,13.03,33.21,15.93,22.43,5.28,4.97,31.69,26.05,29.8,23.71,23.49,5.69,19.84,11.66,31.24,23.59,32.5,26.69,25.75,8.94,41.29,4.03
23.59,7.67,24.07,28.91,13.96,22.7,25.54,26.33,4.82,0.0,10.44,35.13,21.35,28.34,24.42,11.46,25.64,19.26,26.48,10.25,7.39,29.94,12.66,19.16,1.88,2.22,28.43,22.78,26.53,20.45,20.22,1.99,16.57,8.39,27.97,20.32,29.23,23.43,22.48,13.03,38.02,5.82
23.61,9.92,25.36,29.67,11.5,22.71,34.46,35.75,4.47,10.31,0.0,44.05,30.27,34.78,24.43,5.39,34.56,19.27,31.0,7.8,18.67,38.85,21.58,28.07,10.92,10.62,32.95,31.69,26.54,20.37,20.65,8.33,20.42,17.3,29.77,19.58,33.75,25.93,21.72,4.51,46.94,9.67
21.06,40.91,19.5,14.77,47.2,26.16,11.87,10.45,38.07,34.78,43.68,0.0,18.23,13.56,27.13,38.4,10.88,24.33,15.33,43.5,34.74,5.03,42.34,20.44,33.76,35.48,12.88,14.34,25.13,20.27,20.55,36.25,21.66,38.07,15.22,22.27,13.03,18.75,19.59,46.27,4.28,39.13
10.52,27.24,7.37,6.05,33.54,14.55,5.98,7.5,24.4,21.11,30.02,18.59,0.0,7.98,15.58,26.79,6.82,12.72,4.2,29.83,21.08,16.17,28.68,3.24,20.1,21.82,5.58,3.51,14.11,5.57,5.21,22.59,9.09,24.4,5.31,5.95,6.95,6.9,7.99,32.61,21.48,25.47
10.72,34.73,6.28,1.54,41.02,15.83,2.58,4.03,31.89,28.6,31.71,13.67,7.9,0.0,16.8,28.06,3.09,14.0,3.84,37.32,21.66,11.25,36.16,10.1,27.59,29.3,1.96,4.05,15.48,9.93,10.21,30.07,11.33,31.89,3.56,11.93,0.94,8.41,9.26,40.1,16.56,32.95
4.98,29.94,7.0,11.31,32.24,7.37,16.05,17.39,24.34,23.81,23.64,27.03,15.18,16.42,0.0,19.99,16.46,5.55,12.64,28.54,25.08,24.6,31.34,12.5,21.81,24.51,14.59,15.59,8.18,10.01,10.29,21.67,7.4,27.07,11.41,12.01,15.39,7.57,7.13,27.93,29.92,28.08
