in,x,y,q,tc,tr,te,tl
441,1.732,3.082,3.0,0.051000000000000004,8.016164986994351,8.016164986994351,20.0
442,-0.723,-4.404,3.0,0.051000000000000004,8.08273878036762,8.08273878036762,20.0
443,-0.236,-5.956,3.0,0.051000000000000004,8.08740532401216,8.08740532401216,20.0
444,-11.87,10.409,3.0,0.051000000000000004,8.33170838634797,8.33170838634797,20.0
445,2.526,1.354,3.0,0.051000000000000004,8.392207773275075,8.392207773275075,20.0
446,-2.243,-1.819,3.0,0.051000000000000004,8.455737277646067,8.455737277646067,20.0
447,-1.416,-4.673,3.0,0.051000000000000004,8.554367158526851,8.554367158526851,20.0
448,-9.472,15.091,3.0,0.051000000000000004,8.605972015203523,8.605972015203523,20.0
449,-19.961,14.308,3.0,0.051000000000000004,8.612505110719106,8.612505110719106,20.0
450,-7.754,10.101,3.0,0.051000000000000004,8.633280806742459,8.633280806742459,20.0
451,-8.966,9.115,3.0,0.051000000000000004,8.826295280960034,8.826295280960034,20.0
452,-5.023,11.354,3.0,0.051000000000000004,8.923965666584893,8.923965666584893,20.0
453,-2.516,0.528,3.0,0.051000000000000004,9.030657441170774,9.030657441170774,20.0
454,-17.426,11.345,3.0,0.051000000000000004,9.21013002687645,9.21013002687645,20.0
455,-10.205,18.108,3.0,0.051000000000000004,9.225396442529204,9.225396442529204,20.0
456,-1.513,1.649,3.0,0.051000000000000004,9.3170265881471,9.3170265881471,20.0
457,-13.563,6.765,3.0,0.051000000000000004,9.329740041990716,9.329740041990716,20.0
458,-0.704,2.526,3.0,0.051000000000000004,9.361948493994365,9.361948493994365,20.0
459,-9.207,-4.012,3.0,0.051000000000000004,9.389044740443618,9.389044740443618,20.0
460,5.047,1.45,3.0,0.051000000000000004,9.459782983122397,9.459782983122397,20.0
461,-2.552,-1.343,3.0,0.051000000000000004,9.478357776204279,9.478357776204279,20.0
462,1.515,0.516,3.0,0.051000000000000004,9.56356163085563,9.56356163085563,20.0
463,-2.383,-17.478,3.0,0.051000000000000004,9.731205256562982,9.731205256562982,20.0
464,-9.484,12.417,3.0,0.051000000000000004,9.784950211125345,9.784950211125345,20.0
465,0.515,-3.716,3.0,0.051000000000000004,9.880780039225522,9.880780039225522,20.0
466,4.264,4.662,3.0,0.051000000000000004,9.899556112363939,9.899556112363939,20.0
467,-2.869,3.455,3.0,0.051000000000000004,9.922080312759903,9.922080312759903,20.0
468,-11.431,14.3,3.0,0.051000000000000004,9.968369445196858,9.968369445196858,20.0
469,-3.754,-1.725,3.0,0.051000000000000004,9.999408045923134,9.999408045923134,20.0
470,-3.093,-14.918,3.0,0.051000000000000004,10.11824564784745,10.11824564784745,20.0
471,-15.703,13.301,3.0,0.051000000000000004,10.175074052442671,10.175074052442671,20.0
472,-11.645,18.843,3.0,0.051000000000000004,10.214548377962206,10.214548377962206,20.0
473,-7.924,-0.506,3.0,0.051000000000000004,10.223736393859852,10.223736393859852,20.0
474,-9.694,16.041,3.0,0.051000000000000004,10.266363079476854,10.266363079476854,20.0
475,-9.709,7.278,3.0,0.051000000000000004,10.275111491649053,10.275111491649053,20.0
476,-8.442,-5.307,3.0,0.051000000000000004,10.331476123897904,10.331476123897904,20.0
477,-16.204,0.686,3.0,0.051000000000000004,10.437481739444433,10.437481739444433,20.0
478,-1.954,-11.431,3.0,0.051000000000000004,10.474560192254339,10.474560192254339,20.0
479,-12.541,10.76,3.0,0.051000000000000004,10.48886279593652,10.48886279593652,20.0
480,-18.933,6.34,3.0,0.051000000000000004,10.609326808066683,10.609326808066683,20.0
481,0.215,-1.88,3.0,0.051000000000000004,10.613188626452828,10.613188626452828,20.0
482,-4.411,14.98,3.0,0.051000000000000004,10.62865597360512,10.62865597360512,20.0
483,-11.481,12.451,3.0,0.051000000000000004,10.651999434853018,10.651999434853018,20.0
484,-17.929,12.107,3.0,0.051000000000000004,10.735986169568717,10.735986169568717,20.0
