0.0,30.45,2.76,9.09,11.18,22.48,32.02,22.49,15.87,20.94,4.67,17.23,4.11,1.08,24.15,26.87,6.47,10.6,11.78,21.67,5.76,18.59,18.43,22.39,8.09,25.41,22.01,32.41,27.58,16.53,17.99,29.13,20.19,22.79,3.65,9.53,16.05,2.38,7.54,5.49,7.29,23.44,7.95,26.92,10.14,22.83,26.53,25.01,27.26,18.12
30.95,0.0,32.18,35.82,35.0,6.94,6.23,5.47,23.08,27.73,22.75,16.11,26.7,29.92,9.88,3.49,29.88,32.7,33.32,42.67,32.5,20.42,14.86,6.97,28.8,5.82,6.6,3.09,4.55,17.12,36.73,9.47,8.85,16.98,23.58,36.26,23.52,31.26,37.2,23.95,27.05,4.87,24.4,7.26,34.84,5.96,12.26,46.01,2.55,15.24
2.42,30.95,0.0,5.25,10.08,26.84,34.05,24.51,15.06,20.14,6.46,19.25,6.64,4.08,26.17,28.89,8.49,9.5,10.68,20.57,3.37,17.78,20.45,26.26,7.29,26.55,24.04,34.44,29.6,15.73,16.9,30.26,22.22,24.81,6.18,8.43,15.25,3.25,5.31,5.42,6.48,27.13,9.97,28.05,9.04,24.85,28.55,23.91,28.45,20.14
7.95,34.63,5.07,0.0,2.52,30.53,40.8,32.45,16.12,23.82,9.94,20.16,10.68,10.09,30.98,35.64,13.68,3.61,4.79,14.67,3.03,21.47,21.36,29.94,5.92,30.23,28.84,41.19,36.35,19.41,11.0,33.95,30.01,28.77,9.9,1.55,17.18,8.32,2.95,8.9,7.85,30.81,13.58,31.73,1.44,31.94,33.36,18.02,32.14,24.95
11.15,34.77,10.08,2.52,0.0,30.66,40.93,32.59,14.89,23.93,12.34,22.57,13.09,12.49,36.44,35.78,16.08,2.05,2.92,13.13,6.08,21.58,23.77,30.08,8.33,30.37,32.69,41.32,36.49,23.98,9.45,34.08,30.15,31.18,12.3,2.13,15.95,13.71,2.93,11.31,10.26,30.95,15.99,31.87,1.15,32.08,38.82,16.47,32.27,27.36
23.64,7.04,27.26,30.9,30.08,0.0,13.22,2.8,18.17,22.82,15.1,6.41,19.4,22.62,8.73,8.06,22.57,27.78,28.4,37.75,27.58,15.5,4.94,0.43,23.88,10.06,2.21,13.61,8.77,9.28,31.81,13.77,1.91,15.84,15.93,31.34,18.6,23.96,32.28,16.3,22.13,2.57,17.09,11.56,29.92,2.27,11.11,41.1,5.64,5.64
32.68,6.22,34.58,41.51,40.69,13.14,0.0,11.21,28.77,33.42,26.32,17.63,28.44,31.66,11.4,7.11,31.61,38.39,39.01,48.36,38.19,26.1,16.39,13.84,34.49,10.93,12.3,3.23,5.75,22.81,42.42,11.17,15.87,18.51,27.15,41.95,29.21,33.0,38.89,27.53,32.73,10.87,26.14,8.95,40.53,11.17,13.78,51.7,8.75,16.76
23.37,5.48,25.27,32.75,32.22,2.26,11.21,0.0,20.3,24.95,17.01,8.31,19.12,22.34,4.28,6.05,22.3,29.91,30.53,39.89,29.43,17.63,7.07,2.69,26.02,12.03,1.2,11.6,6.76,14.33,33.95,15.75,4.4,12.76,17.83,33.19,20.74,23.68,29.57,18.21,24.26,1.82,16.82,13.54,32.05,0.53,8.04,43.23,6.31,7.44
15.81,22.41,15.75,16.69,15.42,18.3,28.57,20.23,0.0,11.57,13.82,20.8,15.85,16.36,24.08,23.42,19.81,13.11,13.73,23.09,16.07,6.39,22.0,17.72,12.37,18.0,20.33,28.96,24.13,11.62,17.15,21.72,17.79,31.19,14.93,15.14,1.24,17.35,17.62,12.93,10.62,18.59,19.71,19.51,15.25,19.72,26.46,26.43,19.91,22.98
20.95,27.12,20.9,24.54,23.69,23.01,33.28,24.94,9.94,0.0,18.97,25.51,20.99,21.5,28.79,28.13,24.96,21.39,22.01,31.36,21.21,4.38,26.71,22.43,17.52,22.72,25.04,33.67,28.84,16.33,25.42,26.43,22.5,35.9,20.07,24.98,9.01,22.49,27.38,18.07,15.76,23.3,24.85,24.22,25.59,24.43,31.17,34.71,24.62,27.7
