0.0,30.11,10.5,4.39,5.45,20.89,29.56,4.53,1.05,23.19,27.7,6.44,10.59,3.3,23.25,23.14,17.7,9.63,20.07,22.91,7.55,25.88,22.1,32.28,29.6,16.63,33.36,3.27,18.82,19.47,22.2,3.66,9.6,15.87,3.16,7.94,22.01,3.56,25.61,7.23,27.66,6.86,9.97,23.05,26.28,34.55,18.67,30.71,18.28
30.76,0.0,37.05,28.38,22.95,27.5,7.05,25.42,29.81,8.74,3.06,27.62,33.11,27.67,5.24,8.75,18.42,33.63,10.19,6.5,29.09,7.36,6.31,2.92,4.45,21.93,5.71,31.96,13.26,10.6,16.2,23.33,36.15,22.48,31.16,36.67,9.36,24.02,6.54,35.88,8.75,27.26,36.52,5.24,11.82,4.48,10.31,5.14,15.21
10.44,35.78,0.0,14.06,11.95,25.47,35.24,12.79,11.75,31.72,37.33,15.34,2.52,10.92,32.24,28.79,21.44,2.02,28.73,31.08,7.23,31.56,33.3,36.66,39.24,21.2,42.99,7.97,27.34,24.1,29.88,11.61,0.95,16.89,8.28,1.86,30.24,10.75,31.29,1.6,33.34,11.43,0.6,32.23,34.8,37.79,23.3,40.35,26.8
5.52,28.24,16.32,0.0,7.62,26.11,27.7,5.02,4.06,21.33,25.84,1.96,16.41,1.11,21.38,21.28,22.91,15.46,18.21,21.05,12.76,24.02,20.24,30.41,27.74,23.59,31.5,6.72,16.95,17.61,20.34,5.84,15.43,21.08,5.92,11.99,20.14,5.73,23.75,11.89,25.8,12.07,15.79,21.19,24.41,32.69,16.81,28.85,16.42
7.34,22.96,12.34,7.84,0.0,18.72,22.39,3.94,5.62,17.85,22.35,9.12,12.43,8.61,17.62,15.97,15.52,11.48,12.9,15.75,4.92,18.71,16.47,26.93,24.26,10.77,28.01,9.01,13.63,12.31,21.67,2.0,11.44,13.7,8.31,13.42,14.84,2.06,18.44,11.18,20.49,2.12,11.81,17.43,20.93,24.94,11.51,25.37,16.09
20.9,27.35,25.9,23.59,18.19,0.0,26.81,21.79,21.42,27.79,28.9,24.88,21.94,24.52,23.81,20.36,4.11,22.46,20.31,22.66,17.94,23.13,24.87,28.24,30.81,16.31,34.56,22.57,29.02,22.55,35.26,20.03,25.0,8.5,21.87,26.98,21.81,19.35,22.86,24.73,24.91,16.12,25.37,23.81,30.87,29.36,24.09,31.92,27.54
30.16,7.05,36.46,27.78,22.35,26.92,0.0,24.82,29.22,14.56,8.22,27.02,32.53,27.07,9.72,10.98,17.84,33.04,10.69,13.27,28.5,4.0,10.78,4.17,9.65,20.24,5.03,31.36,19.63,13.92,22.03,22.73,35.56,21.9,30.56,36.08,12.43,23.42,5.74,35.3,3.73,26.68,35.93,9.71,17.64,2.62,14.69,8.45,18.15
7.8,25.64,12.68,5.42,3.77,21.76,25.09,0.0,4.17,18.73,23.23,5.31,12.77,4.71,18.78,18.68,24.88,11.81,15.6,18.45,8.41,21.41,17.63,27.81,25.14,20.99,28.89,9.0,14.35,15.01,17.77,2.47,11.78,16.74,8.2,14.26,17.54,2.51,21.15,14.17,23.19,5.62,12.15,18.59,23.4,30.09,14.21,26.25,13.82
0.96,29.45,11.0,3.73,5.36,21.39,28.9,6.22,0.0,22.54,27.04,5.78,11.08,2.65,22.59,22.48,18.19,10.13,19.41,22.25,8.05,25.22,21.44,31.62,28.94,17.13,32.7,3.89,18.16,18.81,21.54,3.57,10.1,16.37,3.22,9.45,21.35,3.47,24.95,9.83,27.0,7.35,10.47,22.39,25.62,33.89,18.01,30.05,17.62
24.15,9.09,34.94,21.76,18.17,28.24,15.72,18.81,23.2,0.0,6.68,22.51,33.85,21.05,5.51,9.49,19.16,34.37,10.93,7.76,29.83,15.83,4.63,11.26,8.58,22.67,12.34,25.34,6.43,8.6,7.65,18.55,34.05,23.22,24.54,30.61,10.1,21.24,15.57,30.51,17.62,20.13,34.41,5.73,3.26,13.53,8.24,9.69,8.38
