0.0,6.66,8.98,5.48,6.77,2.59,2.7,26.41,24.23,27.33,21.13
7.61,0.0,2.63,10.9,7.49,4.02,5.21,31.08,17.88,30.04,25.8
10.02,2.35,0.0,13.31,9.9,6.99,7.62,33.49,15.9,32.45,28.21
2.56,8.04,10.36,0.0,7.54,2.9,5.42,27.33,25.61,28.25,22.05
6.72,7.87,10.2,10.01,0.0,5.3,3.1,23.1,25.45,24.5,17.83
2.57,4.71,7.03,5.46,5.25,0.0,3.13,28.89,22.28,27.8,23.61
2.62,5.19,7.51,7.56,3.11,2.85,0.0,26.55,22.76,27.09,19.69
27.62,34.57,36.9,30.25,23.68,29.43,27.28,0.0,51.08,14.51,7.08
24.11,17.93,15.99,27.87,25.0,22.18,22.72,48.52,0.0,42.16,43.32
27.97,30.55,32.88,30.6,24.53,27.98,27.08,11.99,42.4,0.0,10.48
21.68,28.64,30.96,24.32,17.75,23.5,19.66,6.63,46.21,8.48,0.0
