0.0,29.57,10.14,2.56,4.13,27.93,15.93,33.56,8.23,20.39,5.06,20.77,7.98,5.92,22.37,8.63,9.55,33.12,13.12,17.68,15.86,24.85,6.67,6.19,10.14,11.58,21.54,23.0,9.6,9.56,11.37,5.95,22.0,18.71,8.97,27.61,16.63,3.43,7.18,2.43,23.56,9.6,15.61,5.91,25.78,5.37,21.03,3.61,26.34,8.59,20.79,9.95,2.73,2.41,25.76,24.83,27.47,24.04
30.52,0.0,36.45,30.95,32.52,7.45,22.72,7.42,35.72,40.97,27.35,13.75,30.28,29.95,5.13,32.31,23.03,9.02,20.32,24.48,18.02,10.15,26.14,29.17,32.85,34.27,42.12,10.43,33.35,28.33,34.99,32.48,6.35,12.34,29.23,4.16,21.69,31.88,25.62,27.46,5.75,35.91,22.84,33.58,46.36,27.09,9.22,23.83,7.49,34.9,18.0,36.26,30.53,29.59,11.06,45.41,2.33,6.57
10.08,35.18,0.0,6.34,4.82,38.41,13.47,38.88,1.62,12.45,9.28,24.15,5.13,15.52,33.03,19.66,13.76,42.39,15.55,16.31,19.24,33.02,10.89,14.73,2.41,3.64,13.59,31.17,1.63,7.19,2.05,17.34,30.17,26.87,5.31,36.87,20.85,8.4,11.4,9.95,28.84,0.61,16.06,14.82,17.84,9.59,29.98,10.36,31.65,1.3,28.11,0.38,8.02,8.8,33.93,16.89,32.84,29.32
2.55,30.9,8.56,0.0,1.58,30.31,15.03,34.6,5.94,18.81,4.16,19.87,6.4,8.19,24.75,10.62,8.65,35.5,12.22,16.78,14.96,27.23,5.77,8.57,8.56,10.0,19.95,25.38,8.01,7.19,6.38,8.3,24.38,21.09,6.63,29.99,15.73,3.29,6.28,4.99,24.57,8.02,14.71,5.79,24.2,4.47,25.7,5.71,27.38,5.03,23.17,8.37,0.8,3.16,28.14,23.25,28.57,25.04
4.12,32.48,4.82,1.58,0.0,31.88,16.6,36.17,4.42,16.51,5.73,21.44,4.11,9.76,26.32,12.2,10.22,37.07,13.79,18.35,16.53,28.8,7.34,10.14,6.26,7.7,17.65,26.96,5.71,5.69,4.85,9.87,25.95,22.66,5.13,31.56,17.3,4.14,7.85,6.57,26.14,5.72,16.28,7.36,21.9,6.04,27.27,7.28,28.95,3.5,24.74,4.76,2.04,4.79,29.71,20.95,30.14,26.62
28.63,7.16,39.07,30.33,31.9,0.0,26.0,15.11,38.99,44.24,30.63,17.02,33.55,28.06,8.93,30.85,26.3,10.65,23.6,27.76,21.29,5.68,29.42,27.27,36.13,37.55,45.39,8.72,36.63,31.6,38.27,30.59,9.69,10.23,32.51,3.59,24.97,29.98,28.9,25.56,11.23,38.52,26.12,31.69,49.64,30.36,12.5,25.78,18.6,35.08,14.68,38.88,30.58,27.8,7.96,48.69,9.19,9.85
15.95,22.6,13.23,15.1,16.67,25.83,0.0,26.3,14.02,19.28,11.5,11.57,8.58,22.08,20.46,24.51,7.17,29.81,2.89,3.43,6.66,24.93,10.28,19.67,11.16,12.58,20.42,25.2,11.66,6.63,13.3,22.19,20.64,25.09,7.54,24.3,11.79,17.78,9.76,14.88,16.26,12.68,2.43,19.67,24.67,11.23,17.4,14.19,19.08,14.28,32.77,13.04,14.68,13.73,25.84,23.72,20.26,16.74
34.06,7.46,40.0,35.76,37.33,15.09,26.27,0.0,39.26,44.52,30.9,17.29,33.82,33.49,12.22,35.85,26.57,6.05,23.87,28.03,21.56,17.8,29.69,32.7,36.4,37.82,45.66,18.07,36.9,31.87,38.54,36.02,12.42,19.98,32.78,11.48,24.14,35.41,29.17,30.99,10.05,39.46,26.39,37.12,49.91,30.64,16.42,27.37,8.62,38.44,25.64,39.81,34.08,33.14,18.71,48.96,6.34,10.28
8.23,36.44,1.61,5.94,4.42,39.67,14.73,40.14,0.0,13.24,10.57,25.41,6.42,13.65,34.3,18.92,15.06,43.65,16.81,17.57,20.5,38.77,12.18,16.03,3.2,4.43,14.39,30.84,2.92,8.48,0.86,16.6,34.48,26.54,7.41,38.14,22.14,7.7,12.69,11.24,30.1,2.22,17.32,14.73,18.63,10.88,31.24,11.65,32.92,3.27,29.4,1.99,6.4,10.09,39.68,17.68,34.1,30.58
20.13,40.67,12.4,18.57,16.62,43.9,18.96,44.37,13.13,0.0,19.32,29.64,15.17,25.56,38.53,29.7,23.81,47.88,21.04,21.8,24.73,43.0,20.93,24.78,10.36,9.45,1.91,43.27,11.5,17.23,12.41,27.38,38.71,36.92,16.16,42.37,29.86,22.98,21.44,19.99,34.33,11.86,21.55,24.33,6.19,19.63,35.47,20.4,37.15,13.52,38.15,12.21,18.07,18.84,43.91,5.24,38.33,34.81
5.14,27.28,8.95,4.28,5.86,30.5,11.4,30.97,10.24,19.19,0.0,16.24,4.92,11.26,25.13,13.7,5.02,34.48,8.59,13.15,11.33,29.6,2.14,8.86,8.94,10.39,20.34,20.34,8.4,5.47,10.17,11.37,25.32,16.89,5.35,28.97,12.1,6.97,2.65,4.07,20.94,8.4,11.08,8.86,24.59,0.44,22.07,3.37,23.75,7.39,22.23,8.76,3.86,2.91,30.51,23.64,24.94,21.42
20.47,13.59,25.11,19.61,21.18,16.82,11.38,17.29,24.37,29.63,16.01,0.0,18.93,25.46,11.45,27.82,11.68,20.8,8.98,13.14,6.67,15.92,14.8,24.68,21.51,22.93,30.77,16.19,22.01,16.99,23.65,26.7,11.63,16.07,17.89,15.29,10.35,22.3,14.28,19.4,7.25,24.57,11.5,24.19,35.02,15.75,8.39,18.71,10.07,23.55,23.76,24.92,19.19,18.25,16.83,34.07,11.25,7.73
8.82,29.93,5.12,5.6,4.11,33.16,8.22,33.63,6.41,15.36,6.99,18.9,0.0,13.24,27.79,17.38,11.48,37.14,10.3,11.06,13.99,32.26,4.89,12.45,5.11,6.56,16.51,28.89,3.6,2.26,6.34,15.05,27.97,24.59,1.19,31.63,18.57,8.25,5.03,7.67,23.59,4.57,10.81,12.54,20.76,4.48,24.73,8.07,26.41,3.32,25.83,4.93,5.66,6.52,33.17,19.81,27.59,24.07
7.47,29.65,17.91,9.18,10.75,28.02,23.09,33.65,14.84,28.16,12.22,24.99,15.75,0.0,22.46,2.97,16.71,33.2,20.28,24.84,23.02,24.94,13.83,1.77,17.91,19.35,29.31,23.09,17.37,17.33,15.27,4.63,22.08,18.79,16.74,27.69,25.53,8.83,14.34,7.07,23.64,17.37,22.77,10.53,33.55,12.53,21.12,7.73,26.43,13.93,18.49,17.72,9.42,7.07,25.02,32.6,27.56,24.12
23.25,5.14,33.69,24.95,26.53,9.32,20.45,16.85,33.45,38.7,25.08,11.48,28.01,22.68,0.0,25.06,20.76,12.39,18.05,22.21,15.75,4.28,23.87,21.9,30.58,32.0,39.85,3.33,31.08,26.06,32.72,25.21,1.12,4.85,26.96,6.88,19.42,24.61,23.35,20.19,5.68,33.15,20.57,26.31,44.09,24.82,4.31,20.4,13.05,29.71,14.09,33.5,25.2,22.42,7.16,43.14,6.11,4.3
8.63,31.55,19.34,10.6,12.17,30.0,24.51,35.55,19.49,28.79,13.64,26.89,17.17,2.7,24.36,0.0,18.13,35.1,21.7,26.26,24.44,25.03,15.25,4.79,19.33,20.77,29.93,23.63,18.79,18.75,19.54,3.1,23.98,20.69,18.16,29.59,25.21,8.57,15.76,10.72,25.54,18.79,24.19,9.79,34.18,13.95,23.02,11.39,28.32,15.35,17.84,19.15,10.85,10.59,24.36,33.23,29.46,26.02
10.98,22.25,15.63,10.13,11.7,25.48,6.38,25.95,16.92,24.62,6.53,11.22,10.33,17.11,20.11,19.54,0.0,29.46,3.57,8.13,6.31,24.58,5.32,14.71,15.62,17.07,25.77,24.85,15.08,7.39,16.85,17.22,20.29,24.74,9.72,23.95,7.99,12.82,4.8,9.91,15.91,15.08,6.06,14.7,30.02,6.26,17.05,9.22,18.73,14.07,32.42,15.44,9.71,8.76,25.49,29.07,19.91,16.39
