0.0,29.98,9.15,6.47,18.24,10.93,22.12,26.1,5.81,22.27,15.36,21.21,17.36,3.94,1.12,1.37,23.42,5.23,24.01,3.31,5.56,21.44,22.89,21.26,7.56,10.94,24.74,7.39,26.66,21.86,19.98,6.8,29.61,23.29,18.34,30.86,19.94,2.41,23.26,9.52,10.45,2.34,25.83,5.86,6.98,23.58,5.22,27.48,6.13,9.62,3.3,2.65,26.41,24.82,27.37,18.14
30.76,0.0,35.69,20.17,15.16,35.16,7.11,4.37,30.44,5.3,22.39,27.82,16.05,26.43,28.34,29.4,9.33,27.21,10.92,27.67,29.02,42.25,10.39,42.07,23.82,25.42,7.55,28.54,7.05,6.52,12.51,33.34,6.02,15.87,36.92,11.95,8.85,27.61,6.41,34.4,29.41,30.75,46.64,27.39,26.95,4.84,26.47,8.57,27.44,36.17,30.79,29.65,11.95,45.63,2.7,15.07
7.3,34.92,0.0,13.24,25.19,2.33,30.26,34.03,12.6,29.23,16.3,24.22,20.41,10.63,9.88,7.94,30.37,8.23,30.96,10.22,5.7,14.51,29.85,14.33,14.51,13.94,29.65,6.29,31.6,28.82,26.94,2.15,37.62,26.9,11.41,35.8,22.99,8.92,28.18,1.94,4.37,7.16,18.9,8.86,7.67,31.1,12.44,32.42,9.14,1.01,5.5,7.41,33.36,17.89,32.36,25.1
6.99,20.0,13.21,0.0,10.9,14.99,12.13,17.93,11.74,14.09,14.07,19.93,7.36,4.49,6.51,7.64,15.24,5.24,15.83,8.97,7.49,25.43,14.71,25.25,4.54,4.4,14.74,7.01,16.65,13.4,11.31,10.86,21.43,13.29,22.33,20.86,9.94,4.91,13.26,13.58,11.22,11.09,29.82,5.8,5.97,16.18,7.77,17.48,4.27,13.68,9.27,5.71,18.23,28.81,17.37,9.78
18.95,14.72,25.39,10.81,0.0,30.18,5.01,10.85,18.63,7.02,23.7,29.13,2.45,14.62,16.53,17.59,8.16,15.61,8.75,15.86,26.12,40.68,7.64,40.5,12.01,14.88,5.71,26.03,17.05,6.61,2.66,26.05,14.35,13.68,37.59,21.25,3.81,15.8,8.45,28.77,29.7,18.94,45.07,24.5,25.62,8.32,14.66,17.87,15.35,28.87,21.2,17.04,11.15,44.06,15.01,0.47
10.91,33.96,2.33,15.28,27.23,0.0,29.3,33.07,16.59,31.94,14.04,23.24,22.45,12.67,11.91,13.27,35.11,10.27,36.71,15.55,7.73,12.16,31.88,11.98,16.55,15.98,28.69,8.32,30.64,31.36,28.97,4.88,36.66,25.94,9.07,34.84,29.37,10.95,27.22,1.59,4.84,12.49,16.55,10.9,9.71,30.14,14.48,31.46,11.17,1.32,8.6,9.44,37.73,15.54,31.4,27.13
23.4,6.98,30.92,12.47,5.07,30.39,0.0,6.6,23.08,2.95,17.62,23.05,6.29,19.07,20.98,22.04,8.02,22.44,8.61,20.31,24.25,37.48,7.5,37.3,16.46,20.65,0.82,23.77,11.06,2.3,4.02,28.57,10.19,7.98,32.15,15.27,1.86,16.94,3.56,29.63,24.64,23.39,41.87,22.62,22.18,3.0,19.11,11.89,22.67,31.4,26.02,24.88,11.01,40.86,5.7,5.42
26.98,4.25,34.72,18.23,11.17,34.18,7.39,0.0,26.66,4.1,21.42,26.85,12.05,22.65,24.56,25.62,5.33,26.24,6.92,23.89,28.05,41.28,6.39,41.1,20.04,24.45,6.58,27.57,14.9,5.47,8.51,32.37,4.59,14.9,35.95,19.11,9.21,23.83,7.38,33.43,28.44,26.97,45.67,26.42,25.98,3.87,22.69,15.73,26.47,35.2,29.23,28.68,7.95,44.66,5.5,11.07
5.73,30.34,14.19,10.86,18.6,18.97,22.48,26.47,0.0,22.63,22.79,28.65,17.72,7.59,5.76,6.39,23.78,12.66,24.37,3.92,14.91,29.48,23.25,29.3,7.92,18.37,25.1,14.83,27.02,22.22,20.35,14.85,29.97,23.66,26.39,31.22,20.3,7.25,23.62,17.57,18.5,7.74,33.87,13.29,14.42,23.94,5.62,27.84,13.57,17.67,10.0,7.59,25.94,32.86,27.73,18.5
23.15,5.18,29.59,14.4,7.34,32.9,2.96,4.1,22.84,0.0,20.13,25.56,8.23,18.83,20.74,21.8,3.27,19.21,4.23,20.06,26.76,39.99,3.12,39.81,16.22,18.48,3.45,26.28,13.61,1.54,4.69,30.25,7.55,13.61,34.66,17.82,3.89,20.0,6.09,32.97,27.15,23.15,44.38,25.13,24.69,2.0,18.86,14.44,18.95,33.07,25.41,21.24,7.7,43.37,6.25,7.25
