0.0,30.44,2.42,22.75,31.14,5.97,15.87,21.3,32.69,30.1,3.88,1.12,1.46,26.57,6.65,12.55,11.85,23.26,22.73,23.18,21.27,7.87,7.87,24.8,7.55,26.2,22.16,19.23,33.22,6.95,6.59,19.99,3.25,18.78,20.16,23.51,9.02,10.04,2.45,7.88,5.35,3.58,27.47,8.46,27.03,6.42,9.39,3.29,2.53,26.88,25.05,27.62,17.97
31.09,0.0,31.98,7.1,5.42,29.52,23.22,28.24,5.87,5.8,26.48,29.96,29.82,3.89,30.2,34.88,33.5,5.59,8.75,12.9,42.41,23.63,29.75,7.94,29.42,6.65,6.6,14.44,3.52,33.82,33.46,26.92,31.84,15.62,9.19,6.3,35.9,29.63,31.09,37.43,24.04,24.21,8.22,35.33,7.48,27.91,36.26,31.11,30.02,14.82,46.19,2.35,17.3
2.76,31.38,0.0,27.83,33.51,8.34,15.41,20.84,35.06,31.57,6.76,4.32,3.49,28.94,9.02,11.51,10.81,28.05,24.18,25.54,20.23,10.24,5.96,26.25,6.32,27.68,24.52,21.6,35.58,4.64,4.13,19.53,2.86,21.14,22.53,24.96,6.37,9.0,3.28,5.46,5.62,6.46,28.95,4.87,28.51,5.96,6.1,1.3,3.71,29.25,24.01,29.15,20.34
24.43,7.07,25.99,0.0,12.27,22.87,18.54,23.56,13.82,9.83,19.83,23.31,23.17,7.7,23.55,30.19,28.82,2.55,3.24,5.71,37.73,16.98,25.07,1.25,24.73,11.22,1.64,3.82,14.35,29.14,28.78,22.24,25.19,4.23,2.48,3.72,31.21,24.94,24.44,32.75,16.62,16.79,12.49,30.65,12.05,23.22,31.58,26.43,25.33,11.4,41.51,5.22,5.87
31.97,5.45,33.53,12.46,0.0,30.41,28.06,33.08,2.78,6.37,27.37,30.85,30.71,6.2,31.09,39.72,38.34,10.43,13.59,11.5,47.25,24.52,34.59,12.78,34.26,9.97,11.44,13.04,3.31,38.66,38.3,31.76,32.73,14.22,14.77,13.3,40.74,34.47,31.98,38.38,26.76,28.61,11.54,40.17,9.3,32.75,41.1,34.18,34.86,13.42,51.03,7.68,15.9
6.16,29.21,7.71,21.52,29.91,0.0,21.71,27.15,31.46,28.87,6.75,5.03,4.89,25.34,1.27,19.01,18.31,22.04,21.5,21.95,27.72,6.64,14.33,23.57,13.4,24.97,20.93,18.01,31.99,13.4,13.04,25.83,6.91,17.55,18.93,22.28,15.48,16.49,6.16,12.56,7.92,6.38,26.24,12.59,25.8,12.26,15.84,8.36,5.87,23.59,31.5,26.39,16.75
15.81,22.5,15.41,18.94,27.69,19.32,0.0,11.94,29.24,22.69,15.48,16.4,17.24,23.12,19.99,15.15,13.78,19.17,15.29,24.89,22.69,27.44,13.18,17.36,12.85,18.79,20.18,25.16,29.77,17.25,16.9,10.62,17.1,25.21,18.35,16.07,15.41,9.9,17.03,17.71,13.0,14.36,20.06,17.45,19.62,11.34,15.62,14.55,13.45,26.82,26.47,20.26,23.34
21.3,27.56,20.91,24.0,32.75,24.82,10.29,0.0,34.3,19.25,20.97,21.89,22.74,28.18,25.49,23.78,22.4,24.23,20.36,29.96,31.31,24.37,18.68,22.43,18.35,23.85,25.24,30.22,34.83,22.75,22.39,3.79,22.6,30.27,23.42,21.13,24.83,18.53,22.53,26.84,18.5,19.85,25.13,24.26,17.89,16.84,25.19,20.04,18.95,31.88,35.1,25.33,28.4
34.22,5.74,35.78,14.7,2.62,32.65,30.31,35.32,0.0,5.07,29.61,33.09,32.95,8.45,33.33,41.96,40.58,12.67,15.83,13.74,49.49,26.76,36.83,15.02,36.5,9.71,13.68,15.28,2.51,40.9,40.55,34.01,34.97,16.47,17.01,15.55,42.98,36.71,34.22,40.62,29.01,30.85,11.28,42.42,8.5,34.99,43.35,36.43,37.1,15.67,53.28,8.25,18.15
30.7,5.68,32.26,9.84,6.21,29.14,22.85,19.19,5.07,0.0,26.1,29.57,29.43,9.07,29.81,34.5,33.13,9.27,11.1,16.67,42.04,23.24,29.37,9.25,29.04,4.47,10.28,20.96,3.23,33.45,33.09,26.55,31.45,21.01,14.92,8.24,35.52,29.25,30.7,37.06,23.65,23.82,6.04,34.96,3.64,27.53,35.89,30.74,29.64,18.6,45.82,4.63,19.14
