0.0,29.14,13.27,8.95,8.78,20.44,5.43,22.02,30.96,29.78,5.52,8.05,4.92,29.5,3.87,1.25,23.98,6.41,6.52,10.42,11.23,20.94,5.0,20.9,15.7,9.78,11.32,4.41,19.76,12.19,32.79,27.17,16.06,17.95,29.23,7.53,2.48,23.09,9.64,15.85,5.17,7.57,5.4,7.04,23.14,7.19,19.1,20.49,2.96,2.59,26.1,24.29,27.27,21.48
30.01,0.0,35.5,35.01,35.47,40.77,26.48,7.85,5.59,9.75,22.53,32.24,21.93,7.78,26.27,27.59,8.56,26.44,28.99,32.46,32.64,41.26,31.91,19.57,33.55,26.96,34.69,30.43,19.53,33.7,4.22,3.45,20.94,36.34,10.75,25.72,27.06,7.69,35.7,22.64,27.22,36.52,23.18,27.07,4.58,24.16,12.58,17.52,29.97,29.51,10.68,44.62,3.24,9.82
13.22,35.72,0.0,3.85,0.8,13.25,12.79,31.11,41.02,35.89,14.52,17.42,15.21,35.61,14.91,14.36,37.43,13.77,18.2,4.06,4.07,13.75,8.42,23.18,4.38,10.54,1.46,15.27,30.22,5.13,37.83,37.24,24.66,10.76,35.34,12.85,13.01,29.17,3.87,16.9,12.52,1.84,13.28,11.88,32.49,17.65,30.4,30.95,11.16,12.11,39.56,17.1,33.43,32.78
9.99,34.66,3.85,0.0,3.17,13.31,8.54,30.05,39.96,34.83,10.27,13.25,10.96,34.54,10.67,10.12,31.04,9.52,13.96,3.29,4.1,13.8,2.99,24.0,8.57,5.7,2.54,11.44,25.97,5.06,36.76,36.18,19.17,10.81,34.28,8.61,8.77,28.1,1.29,16.83,8.28,2.8,9.03,7.63,31.43,13.4,26.15,26.7,5.67,7.87,33.16,17.15,32.37,28.53
8.48,35.78,0.8,3.17,0.0,13.31,11.46,31.17,41.08,35.95,13.19,17.94,13.88,35.66,13.58,13.03,37.49,12.44,16.87,3.16,4.13,13.81,7.09,23.24,4.43,9.21,0.77,15.79,27.85,5.19,37.88,37.3,24.72,10.82,35.4,11.52,11.68,29.22,3.18,16.96,11.19,1.1,11.95,10.55,32.55,15.28,27.18,28.58,7.23,10.78,39.61,17.16,33.49,29.56
19.96,40.24,12.99,13.09,12.96,0.0,19.52,35.63,45.54,40.41,21.25,27.43,21.94,40.12,21.65,21.1,41.95,20.5,24.94,10.68,9.76,2.54,15.15,27.7,11.12,17.28,12.18,25.62,36.95,9.69,42.34,41.76,29.18,3.14,39.86,19.59,19.74,33.69,11.73,21.42,19.26,14.01,20.01,18.61,37.01,24.38,37.13,37.68,17.9,18.84,44.07,5.89,37.95,39.51
5.59,26.47,12.33,8.01,11.01,19.5,0.0,21.86,31.77,26.64,2.66,12.05,3.36,26.36,5.28,6.36,28.18,1.23,9.64,9.48,10.29,19.99,4.91,15.82,14.76,5.43,10.37,10.24,21.65,11.25,28.58,27.99,10.98,17.0,26.09,2.27,4.44,19.92,8.7,10.77,0.72,10.98,2.61,1.87,23.25,9.08,16.37,22.38,4.0,3.54,30.31,23.35,24.19,18.85
23.08,7.61,30.78,30.29,30.75,36.05,21.76,0.0,12.91,13.87,15.21,25.31,14.61,13.59,19.34,20.66,8.48,21.73,22.06,27.74,27.92,36.55,27.2,14.85,28.83,22.24,29.97,23.5,13.13,28.98,10.36,9.13,10.06,31.63,13.32,21.0,20.13,3.37,30.98,17.92,22.5,31.8,15.86,22.35,3.25,17.23,4.25,12.2,25.25,24.79,10.6,39.9,5.58,4.8
31.85,5.42,41.03,40.54,41.0,46.3,32.01,13.38,0.0,8.52,25.95,34.08,25.35,7.02,28.11,29.42,10.4,31.97,30.83,37.99,38.17,46.8,37.45,25.1,39.08,32.49,40.22,32.27,21.37,39.23,3.92,6.29,26.47,41.88,11.39,31.25,28.9,13.22,41.23,28.17,32.75,38.08,26.6,32.6,10.11,26.0,14.42,19.36,34.04,31.2,12.52,50.15,7.86,11.66
30.31,11.11,35.56,35.06,35.53,40.82,26.53,13.02,8.3,0.0,22.57,32.54,21.98,2.28,26.57,27.89,19.34,26.5,29.3,32.52,32.69,41.32,31.97,19.63,33.6,27.01,34.75,30.73,30.31,33.75,5.5,19.15,16.58,36.4,3.36,25.77,27.36,11.07,35.76,22.7,27.27,36.57,23.23,27.12,14.4,24.46,19.81,28.3,30.02,29.57,21.46,44.67,8.13,22.28
7.13,22.55,14.82,10.58,13.58,22.07,2.59,14.93,25.68,22.69,0.0,10.98,0.71,22.4,3.3,5.64,18.71,3.71,9.28,12.05,12.86,22.57,7.49,18.51,17.33,7.9,12.95,9.17,19.3,13.82,24.62,21.9,9.66,19.58,22.14,4.5,3.23,15.99,11.28,13.46,2.78,13.55,1.37,4.34,17.59,5.71,13.73,20.03,5.54,3.39,20.83,25.92,20.18,16.2
7.94,30.76,18.34,17.45,18.4,28.15,13.32,23.64,32.58,31.4,12.61,0.0,12.01,31.12,10.96,5.17,25.84,14.31,4.51,20.73,20.74,28.64,14.36,28.79,21.04,18.28,18.9,2.22,17.71,20.7,34.41,28.8,23.95,25.65,30.85,15.42,10.11,24.71,18.15,23.74,13.06,15.46,12.25,14.93,24.76,8.81,20.72,18.44,10.4,10.08,25.61,32.0,28.89,23.1
5.38,21.95,14.52,10.28,13.28,21.7,3.28,14.33,25.09,22.09,0.71,10.38,0.0,21.8,2.7,5.04,18.11,4.4,8.68,11.75,12.56,22.2,7.18,19.2,16.96,8.59,12.64,8.57,18.7,13.52,24.02,21.3,10.4,19.21,21.54,5.19,3.39,15.39,10.97,14.15,3.47,13.25,1.25,5.03,16.99,5.11,13.13,19.43,6.23,3.55,20.23,25.55,19.58,15.6
