0.0,29.37,9.1,3.74,15.44,20.8,17.14,4.02,18.93,16.0,4.4,26.34,23.2,3.2,6.96,21.63,23.22,21.48,20.21,9.71,10.91,4.55,19.64,19.23,7.14,6.26,17.87,28.75,20.25,22.21,3.78,9.17,15.23,4.87,8.07,20.78,23.64,5.16,19.33,19.51,9.84,2.84,2.29,26.15,18.58,20.78
29.96,0.0,34.85,32.18,21.67,26.61,15.44,25.03,24.74,16.55,21.83,4.04,10.87,27.16,27.64,41.65,10.66,41.5,14.57,27.76,34.55,30.52,17.69,8.89,32.89,32.01,36.05,9.08,8.43,16.42,22.64,34.92,21.04,26.93,36.15,9.25,4.61,25.61,10.14,19.06,35.59,30.08,29.12,11.9,10.42,10.84
7.78,33.99,0.0,3.94,15.81,23.52,19.9,10.42,18.19,18.71,11.33,34.94,29.86,10.37,5.99,14.65,29.88,14.5,22.97,4.97,2.54,11.65,26.3,25.89,1.51,2.56,10.9,33.4,29.9,28.02,9.61,2.03,17.25,7.58,3.34,29.34,30.87,12.08,25.99,25.33,1.53,5.4,7.37,32.81,21.34,27.44
3.75,31.76,3.94,0.0,15.92,21.29,20.49,7.88,19.42,16.48,9.1,29.69,26.55,6.56,4.49,18.54,26.57,18.39,23.56,6.59,4.92,7.83,23.0,22.58,3.48,2.9,14.79,31.17,23.6,25.56,7.85,6.08,15.72,5.35,4.45,24.14,28.64,8.51,22.68,22.87,5.09,1.8,4.94,29.5,21.93,24.14
15.38,21.5,16.28,16.31,0.0,11.01,19.95,15.33,3.44,6.22,13.91,22.46,24.62,18.89,11.77,22.62,24.42,22.47,23.35,8.73,15.52,20.17,31.45,24.73,16.77,16.14,17.02,20.91,17.41,30.18,14.37,14.35,1.39,11.05,17.12,16.85,18.38,17.96,23.37,32.82,15.02,14.21,13.25,25.65,18.88,24.59
20.81,26.5,24.41,21.74,9.92,0.0,24.95,20.76,6.92,11.22,19.34,27.46,29.62,24.33,17.2,31.18,29.42,31.03,28.35,17.29,26.22,25.6,36.45,29.73,22.45,21.57,25.58,25.91,22.41,35.17,19.8,24.48,9.04,16.49,27.17,21.85,23.38,23.39,28.37,37.82,25.15,19.64,18.68,30.65,23.88,29.59
18.01,16.34,27.41,20.89,19.86,24.8,0.0,13.08,22.93,14.74,9.89,12.34,9.2,15.21,14.37,39.93,9.22,39.78,1.83,18.18,29.21,18.57,6.92,5.77,25.44,24.57,34.24,15.22,4.43,11.54,10.69,27.47,19.24,13.06,24.6,4.07,9.36,13.65,2.95,19.31,28.14,20.07,13.23,12.15,2.76,7.33
4.31,25.65,10.86,11.43,15.45,20.82,13.42,0.0,18.95,16.01,2.35,22.62,19.49,5.75,6.98,23.38,19.5,23.23,16.5,11.46,12.66,7.64,19.31,15.51,8.89,8.01,19.63,25.03,16.53,18.52,1.72,10.92,15.25,4.88,13.61,17.07,19.93,4.09,15.61,15.83,11.59,6.49,3.35,24.02,14.86,17.07
19.09,24.28,18.07,20.02,3.5,6.92,22.73,19.05,0.0,9.0,17.63,25.24,27.4,22.61,15.48,24.41,27.2,24.26,26.13,10.52,17.31,23.89,34.23,27.51,18.56,19.85,18.81,23.69,20.19,32.96,18.09,16.15,3.17,14.77,18.91,19.63,21.16,21.67,26.15,35.6,16.82,17.93,16.97,28.43,21.66,27.37
15.59,16.61,19.19,16.52,6.01,10.95,15.06,15.54,9.08,0.0,14.12,17.57,19.73,19.11,11.98,25.99,19.53,25.84,18.47,12.1,18.89,20.38,26.56,19.84,17.23,16.35,20.39,16.02,12.53,25.29,14.58,19.26,5.38,11.26,20.49,11.97,13.5,18.17,18.48,27.93,19.93,14.42,13.46,20.76,13.99,19.71
