0.0,28.86,7.08,3.87,1.03,23.65,27.32,23.84,11.62,23.47,23.13,22.48,21.39,8.22,22.62,7.38,26.01,21.9,33.22,6.8,27.42,16.84,18.35,28.51,2.56,23.45,9.51,15.29,25.69,5.07,6.57,26.17,6.88,20.76,9.47,3.26,2.47,31.84,18.3,21.19
29.73,0.0,35.56,25.99,27.77,8.39,1.58,9.6,33.21,4.42,8.24,8.74,41.85,28.79,7.39,28.56,7.66,6.23,4.29,32.99,2.48,21.79,36.57,10.16,26.66,6.65,35.7,21.55,46.15,27.64,26.74,7.88,35.34,16.97,35.66,30.4,29.34,5.44,13.46,9.25
7.08,34.91,0.0,10.79,8.39,30.34,36.44,30.53,4.91,31.78,28.26,29.17,14.68,5.87,30.06,6.2,31.18,28.58,42.34,2.37,36.54,20.07,11.64,33.68,8.8,28.59,1.89,17.57,18.98,8.3,7.85,31.33,0.43,27.44,1.28,5.31,7.67,37.0,24.98,27.87
4.16,25.7,10.98,0.0,3.58,20.49,24.16,20.68,13.22,20.31,19.97,19.32,22.99,8.38,19.45,7.13,22.85,18.74,30.06,8.4,24.26,12.84,19.95,25.35,2.0,20.29,11.11,15.05,27.29,4.83,6.33,23.01,10.75,17.63,11.07,6.05,3.36,28.68,15.14,18.03
1.32,27.49,9.8,3.71,0.0,22.28,25.95,22.47,12.05,22.1,21.76,21.11,21.82,8.65,21.25,7.81,24.64,20.53,31.85,7.23,26.05,17.27,18.78,27.14,3.09,22.08,9.94,15.72,26.12,5.5,7.0,24.8,8.34,19.39,9.9,3.69,2.73,30.47,16.93,19.82
24.22,8.39,30.43,20.47,22.25,0.0,6.85,3.15,34.84,4.61,9.88,1.79,43.49,30.43,9.03,30.2,16.51,5.18,12.74,31.31,6.95,20.71,38.21,19.01,21.15,9.83,34.02,23.19,47.79,29.27,28.37,16.67,30.24,10.26,33.98,26.7,23.44,14.42,7.94,2.75
28.19,1.58,34.41,24.45,26.23,6.85,0.0,8.06,34.95,6.16,9.98,7.2,43.59,30.53,9.13,30.3,8.86,7.98,5.26,34.73,1.08,23.53,38.31,11.35,25.13,9.93,37.44,23.29,47.89,29.37,28.48,9.08,34.21,15.43,37.4,30.68,31.08,6.93,11.92,7.71
24.54,9.4,30.76,20.8,22.57,3.15,7.86,0.0,36.46,5.66,10.89,1.51,44.5,31.43,10.03,31.21,17.52,4.69,13.75,31.64,7.95,21.04,39.22,20.02,21.47,10.83,34.35,24.19,48.79,21.68,29.38,17.68,30.56,7.63,34.31,27.03,23.76,15.42,8.27,2.66
11.41,33.3,4.96,13.1,12.43,34.98,34.83,36.19,0.0,30.16,26.65,35.33,10.54,8.18,28.45,8.52,29.56,31.46,40.72,5.38,34.93,22.82,7.51,32.06,11.12,26.97,2.58,14.66,14.84,10.62,10.17,29.72,6.14,29.41,3.17,8.98,9.99,35.39,23.89,30.68
24.15,4.42,32.3,20.41,22.18,4.61,5.96,5.65,29.94,0.0,4.98,4.29,38.59,25.52,2.81,25.3,11.61,1.85,11.85,29.73,6.06,18.52,33.31,14.11,21.08,4.92,32.44,18.28,42.88,24.37,23.47,11.77,32.08,14.69,32.4,27.13,26.07,8.19,6.29,3.81
23.65,8.35,28.81,19.91,21.68,10.03,9.88,11.24,26.45,3.91,0.0,9.0,35.09,22.03,1.43,21.8,8.12,4.36,15.78,26.23,9.98,15.03,29.82,10.62,20.58,1.97,28.94,14.79,39.39,20.88,19.98,8.27,28.59,18.61,28.9,23.64,22.58,10.72,3.28,7.7
23.18,8.43,29.4,19.44,21.21,1.79,6.89,1.51,35.1,4.3,9.92,0.0,43.53,30.46,9.06,21.79,16.55,3.33,12.78,30.28,6.99,19.68,38.25,19.05,20.11,9.86,32.99,23.22,47.82,20.32,28.41,16.71,29.2,8.67,32.95,25.67,22.4,14.45,6.91,1.3
21.34,41.76,14.89,23.03,22.36,43.44,43.29,44.65,10.7,38.62,35.11,43.79,0.0,18.11,36.91,18.45,38.02,39.92,49.19,15.31,43.39,31.29,5.58,40.52,21.05,35.44,12.97,23.12,5.5,20.55,20.1,38.18,16.07,39.34,13.55,18.92,19.92,43.85,38.66,40.61
8.68,28.72,6.14,8.37,9.03,30.4,30.25,31.62,8.39,25.59,22.07,21.77,18.16,0.0,23.87,0.79,24.99,26.88,36.15,3.53,30.35,13.88,15.12,27.48,7.74,22.4,6.28,12.33,22.46,3.5,2.12,25.14,5.92,26.04,6.24,5.38,6.62,30.81,15.77,20.48
25.37,6.95,30.53,21.63,23.41,9.19,9.04,8.94,28.17,2.82,1.43,7.58,36.82,23.76,0.0,23.53,9.84,2.94,14.94,27.96,9.14,16.76,31.54,12.34,22.31,2.9,30.67,16.52,41.12,22.6,21.7,10.0,30.31,17.77,30.63,25.37,24.31,9.88,4.48,6.29
